Algorithm,Avg Time,Min Time,Max Time,Avg Accuracy (%),Avg Memory,Optimality Rate (%)
Base Genetic,1.421 s,244.0 us,17.639 s,85.22,4.68 MB,3.0
Modified Memetic,697.536 ms,439.0 us,6.518 s,100.00,1.74 MB,100.0
Custom Genetic,876.200 ms,335.0 us,7.860 s,100.00,4.37 MB,66.0
