Algorithm,Avg Time,Min Time,Max Time,Avg Accuracy (%),Avg Memory,Optimality Rate (%)
Base Genetic,1.386 s,281.0 us,17.818 s,65.22,4.31 MB,1.0
Modified Memetic,23.787 ms,164.0 us,342.537 ms,100.00,1.21 MB,100.0
Custom Genetic,831.183 ms,362.0 us,8.134 s,100.00,4.13 MB,42.0
