Algorithm,Avg Time,Min Time,Max Time,Avg Accuracy (%),Avg Memory,Optimality Rate (%)
Brute Force,244.491 ms,173.0 us,3.858 s,99.98,4.80 MB,64.0
Genetic Algorithm v2,267.135 ms,163.0 us,4.692 s,99.96,4.80 MB,20.0
Genetic Algorithm v3,426.211 ms,200.0 us,7.092 s,99.94,4.80 MB,13.0
Genetic Algorithm v4,264.537 ms,167.0 us,4.476 s,99.96,4.80 MB,20.0
