Algorithm,Avg Time,Min Time,Max Time,Avg Accuracy (%),Avg Memory,Optimality Rate (%)
simulated annealing,1.021 s,3.785 ms,9.916 s,98.99,2.17 MB,94.0
tabu search,1.125 s,862.0 us,10.399 s,100.00,2.17 MB,100.0
guided local search,2.261 s,1.802 ms,29.877 s,98.56,1.23 MB,88.0
