Algorithm,Avg Time,Min Time,Max Time,Avg Accuracy (%),Avg Memory,Optimality Rate (%)
Brute Force,122.427 ms,20.944 ms,364.666 ms,100.00,472.0 B,7.0
Memoization,345.399 ms,445.0 us,2.921 s,100.00,171.89 MB,47.0
Dynamic Programming,170.634 ms,271.0 us,2.559 s,100.00,298.83 MB,50.0
Pisinger's Combo,35.922 ms,12.838 ms,348.212 ms,100.00,36.07 MB,100.0
Random Permutation,157.075 ms,407.0 us,2.142 s,100.00,299.87 MB,50.0
Branch and Bound,268.059 ms,4.0 us,3.878 s,100.00,1.17 GB,40.0
Meet in the Middle,22.869 ms,254.0 us,132.704 ms,100.00,2.30 MB,9.0
Greedy,5.395 ms,1.0 us,82.769 ms,99.23,3.17 MB,2.0
Efficient,374.520 ms,6.0 us,4.947 s,100.00,4.05 KB,40.0
Billion Scale,982.905 ms,20.0 us,16.111 s,94.32,1.28 GB,2.0
