Algorithm,Avg Time,Min Time,Max Time,Avg Accuracy (%),Avg Memory,Optimality Rate (%)
Base Genetic,1.419 s,302.0 us,16.763 s,90.47,4.54 MB,0.0
Modified Memetic,419.428 ms,381.0 us,6.012 s,100.00,1.65 MB,96.0
Custom Genetic,970.749 ms,390.0 us,9.926 s,100.00,4.32 MB,97.0
