Algorithm,Avg Time,Min Time,Max Time,Avg Accuracy (%),Avg Memory,Optimality Rate (%)
Brute Force,931.276 ms,2.112 ms,4.255 s,100.00,692.0 B,5.0
Memoization,521.331 ms,314.0 us,2.886 s,100.00,241.43 MB,30.0
Dynamic Programming,212.497 ms,209.0 us,2.351 s,100.00,358.30 MB,32.0
Pisinger's Combo,26.228 ms,12.586 ms,126.344 ms,100.00,37.06 MB,100.0
Random Permutation,188.906 ms,370.0 us,1.495 s,100.00,359.43 MB,32.0
Branch and Bound,802.714 ms,5.0 us,27.765 s,100.00,1.11 GB,67.0
Meet in the Middle,60.993 ms,1.039 ms,295.665 ms,100.00,4.97 MB,5.0
Greedy,10.116 ms,1.0 us,98.499 ms,99.94,5.08 MB,47.0
Efficient,838.303 ms,6.0 us,49.432 s,100.00,244.76 KB,70.0
Billion Scale,266.733 ms,28.0 us,6.751 s,99.25,1.25 GB,33.0
