Algorithm,Avg Time,Min Time,Max Time,Avg Accuracy (%),Avg Memory,Optimality Rate (%)
Base Genetic,1.889 s,247.0 us,20.859 s,71.51,5.26 MB,4.0
Modified Memetic,477.658 ms,111.0 us,7.208 s,100.00,1.83 MB,100.0
Custom Genetic,932.353 ms,340.0 us,8.294 s,100.00,4.86 MB,100.0
