Algorithm,Avg Time,Min Time,Max Time,Avg Accuracy (%),Avg Memory,Optimality Rate (%)
Brute Force,65.060 ms,34.181 ms,99.758 ms,100.00,562.7 B,3.0
Memoization,328.712 ms,240.0 us,3.140 s,100.00,180.83 MB,37.0
Dynamic Programming,266.292 ms,128.0 us,2.383 s,100.00,406.33 MB,42.0
Pisinger's Combo,1.334 s,11.899 ms,48.059 s,100.00,34.81 MB,76.0
Random Permutation,272.235 ms,190.0 us,2.912 s,100.00,407.51 MB,42.0
Branch and Bound,285.997 ms,4.0 us,3.304 s,100.00,887.08 MB,14.0
Meet in the Middle,18.698 ms,420.0 us,57.758 ms,100.00,2.28 MB,6.0
Greedy,3.288 ms,1.0 us,35.017 ms,99.85,3.77 MB,70.0
Efficient,520.580 ms,5.0 us,6.831 s,100.00,1.01 KB,14.0
Billion Scale,982.092 ms,64.0 us,10.222 s,99.40,906.06 MB,55.0
