Algorithm,Avg Time,Min Time,Max Time,Avg Accuracy (%),Avg Memory,Optimality Rate (%)
simulated annealing,727.467 ms,3.543 ms,6.870 s,100.00,1.70 MB,100.0
tabu search,859.014 ms,763.0 us,8.100 s,99.89,1.70 MB,97.0
guided local search,3.181 s,1.651 ms,28.610 s,99.78,1.70 MB,96.0
