Algorithm,Avg Time,Min Time,Max Time,Avg Accuracy (%),Avg Memory,Optimality Rate (%)
Base Genetic,1.614 s,292.0 us,20.677 s,83.62,4.90 MB,0.0
Modified Memetic,625.076 ms,374.0 us,6.571 s,100.00,1.95 MB,87.0
Custom Genetic,891.013 ms,366.0 us,7.975 s,99.98,4.75 MB,24.0
